
Mo,Zo,Age,Mass,logL,logTe
 40.00,0.020, 4.747716e+06,  8.8761, 5.242, 4.652
 40.00,0.020, 4.766403e+06,  8.4813, 5.222, 4.671
 40.00,0.020, 4.776836e+06,  8.2795, 5.250, 4.704
 40.00,0.020, 4.781378e+06,  8.1955, 5.324, 4.755
 40.00,0.020, 4.784776e+06,  8.1340, 5.367, 4.773
 40.00,0.020, 4.785358e+06,  8.1236, 5.388, 4.776
 40.00,0.020, 4.785674e+06,  8.1179, 5.405, 4.779
 40.00,0.020, 4.785728e+06,  8.1169, 5.411, 4.781
 40.00,0.020, 4.785750e+06,  8.1166, 5.415, 4.782
 40.00,0.020, 4.785765e+06,  8.1163, 5.419, 4.783
 40.00,0.020, 4.785782e+06,  8.1160, 5.434, 4.806
 40.00,0.020, 4.313606e+06, 35.7747, 5.742, 3.774
 40.00,0.020, 4.325298e+06, 32.7823, 5.759, 3.769
 40.00,0.020, 4.343646e+06, 28.4868, 5.752, 3.796
 40.00,0.020, 4.360832e+06, 25.9722, 5.745, 4.041
 40.00,0.020, 4.378111e+06, 25.4270, 5.741, 4.019
 40.00,0.020, 4.395402e+06, 24.8139, 5.735, 3.979
 40.00,0.020, 4.413031e+06, 23.6557, 5.727, 3.870
 40.00,0.020, 4.429557e+06, 21.9650, 5.715, 3.862
 40.00,0.020, 4.454898e+06, 20.1268, 5.698, 4.054
 40.00,0.020, 4.487196e+06, 17.5430, 5.643, 4.499
 40.00,0.020, 4.489184e+06, 17.3113, 5.632, 4.403
 40.00,0.020, 4.513048e+06, 14.3781, 5.508, 4.404
 40.00,0.020, 4.540168e+06, 11.2151, 5.331, 4.460
 40.00,0.020, 4.567352e+06,  9.3630, 5.196, 4.498
 40.00,0.020, 4.598158e+06,  7.9927, 5.075, 4.528
 40.00,0.020, 4.632590e+06,  6.9414, 4.964, 4.553
 40.00,0.020, 4.669758e+06,  6.1282, 4.867, 4.574
 40.00,0.020, 4.713612e+06,  5.4234, 4.772, 4.595
 40.00,0.020, 4.766238e+06,  4.8009, 4.675, 4.616
 40.00,0.020, 4.827634e+06,  4.2638, 4.583, 4.637
 40.00,0.020, 4.858332e+06,  4.0469, 4.544, 4.649
 40.00,0.020, 4.891947e+06,  3.8388, 4.512, 4.665
 40.00,0.020, 4.912560e+06,  3.7240, 4.552, 4.706
 40.00,0.020, 4.919788e+06,  3.6858, 4.622, 4.748
 40.00,0.020, 4.932556e+06,  3.6207, 4.793, 4.771
 40.00,0.020, 4.939358e+06,  3.5871, 4.906, 4.766
 40.00,0.020, 4.940618e+06,  3.5810, 4.931, 4.754
 40.00,0.020, 4.940930e+06,  3.5795, 4.936, 4.750
 40.00,0.020, 4.941242e+06,  3.5780, 4.944, 4.746
 40.00,0.020, 4.941422e+06,  3.5771, 4.950, 4.745
 40.00,0.020, 4.941880e+06,  3.5749, 4.971, 4.742
 25.00,0.020, 4.000304e+04, 24.9967, 4.897, 4.579
 25.00,0.020, 9.325709e+05, 24.9187, 4.930, 4.571
 25.00,0.020, 2.066657e+06, 24.7995, 4.977, 4.562
 25.00,0.020, 3.034431e+06, 24.6734, 5.022, 4.552
 25.00,0.020, 3.857920e+06, 24.5383, 5.064, 4.539
 25.00,0.020, 4.570800e+06, 24.3891, 5.105, 4.521
 25.00,0.020, 5.177188e+06, 24.2236, 5.144, 4.497
 25.00,0.020, 5.565390e+06, 24.0888, 5.171, 4.475
 25.00,0.020, 5.912596e+06, 23.9405, 5.198, 4.447
 25.00,0.020, 6.127655e+06, 23.8309, 5.216, 4.424
 25.00,0.020, 6.330437e+06, 23.7117, 5.236, 4.404
 25.00,0.020, 6.401017e+06, 23.6668, 5.254, 4.425
 25.00,0.020, 6.407744e+06, 23.6625, 5.290, 4.462
 25.00,0.020, 6.409816e+06, 23.6612, 5.283, 4.448
 25.00,0.020, 6.413367e+06, 23.6583, 5.312, 4.345
 25.00,0.020, 6.415734e+06, 23.6557, 5.325, 4.252
 25.00,0.020, 6.417495e+06, 23.6530, 5.329, 4.164
 25.00,0.020, 6.418746e+06, 23.6505, 5.335, 4.087
 25.00,0.020, 6.419996e+06, 23.6467, 5.344, 4.008
 25.00,0.020, 6.421496e+06, 23.6393, 5.353, 3.925
 25.00,0.020, 6.424372e+06, 23.6158, 5.357, 3.829
